noise_std,NWF,1-NN,LogReg,MLP
0.0,0.9867,0.9900,0.9900,0.9900
0.1,0.9800,0.9767,0.9633,0.9900
0.2,0.9633,0.9633,0.9367,0.9800
0.3,0.9533,0.9700,0.9400,0.9600
