K,method,mean,std
1,NWF,0.3858,0.0328
1,1-NN,0.3883,0.0306
1,LogReg,0.4225,0.0389
1,MLP,0.3750,0.0531
2,NWF,0.4408,0.0464
2,1-NN,0.5075,0.0354
2,LogReg,0.5567,0.0429
2,MLP,0.5492,0.0190
3,NWF,0.4675,0.0329
3,1-NN,0.5692,0.0618
3,LogReg,0.5925,0.0467
3,MLP,0.5892,0.0383
